averageRating	numVotes	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
8,2	28	tt2016456	tvSeries	El Octavo Mandamiento	El Octavo Mandamiento	0	2010	\N	60	Drama
7,6	16	tt2016462	tvSeries	Hoping Heart	Esperanza del corazón	0	2011	\N	45	Drama,Romance
7,7	2055	tt2016670	tvSeries	Shiki	Shiki	0	2010	\N	24	Animation,Drama,Horror
7,7	75	tt2016822	tvSeries	Yôkai ningen Bem	Yôkai ningen Bem	0	2011	\N	\N	Adventure,Fantasy,Horror
7,3	58	tt2017048	tvSeries	Youthful Daze	Youthful Daze	0	2012	\N	10	Drama
8,4	73402	tt2017109	tvSeries	Banshee	Banshee	0	2013	2016	60	Action,Crime,Drama
7,4	556	tt2017925	tvSeries	Mawaru-Penguindrum	Mawaru-Penguindrum	0	2011	\N	\N	Animation,Comedy,Drama
8,2	8	tt2019541	tvSeries	Pretty Rhythm Aurora Dream	Pretty Rhythm Aurora Dream	0	2011	\N	30	Animation
7,9	9	tt2021072	tvSeries	Freshers	Freshers	0	2010	\N	22	Comedy
7,3	144	tt2021319	tvSeries	Kaseifu no mita	Kaseifu no mita	0	2011	\N	54	Drama
8,1	32	tt2021645	tvSeries	My Binondo Girl	My Binondo Girl	0	2011	2012	\N	Comedy
7,3	6	tt2021670	tvSeries	Now That's Sketchy!	Now That's Sketchy!	0	2008	2009	\N	Comedy
7,9	150	tt2021671	tvSeries	O Programa do Aleixo	O Programa do Aleixo	0	2008	2012	30	Comedy
8,0	3586	tt2022190	tvSeries	The Walking Dead: Webisodes	The Walking Dead: Webisodes	0	2011	2013	8	Drama,Horror,Sci-Fi
7,3	10711	tt2022713	tvSeries	Brickleberry	Brickleberry	0	2012	2015	22	Animation,Comedy
7,8	13	tt2024092	tvSeries	NOKSU	NOKSU	0	2011	\N	\N	Animation
7,4	9	tt2024214	tvSeries	Scharfe Hunde	Scharfe Hunde	0	2011	\N	\N	Comedy
7,9	9	tt2024223	tvSeries	Sports Ballz	Sports Ballz	0	2011	2011	22	Comedy
7,5	128	tt2024343	tvSeries	Workingirls	Workingirls	0	2012	\N	13	Comedy
7,4	34	tt2024928	tvSeries	Living in 8 Bits	Living in 8 Bits	0	2010	\N	\N	Comedy
7,2	2182	tt2025899	tvSeries	Dicte	Dicte	0	2012	2016	60	Crime,Drama
8,7	26	tt2026020	tvSeries	Heavy Sedation	Heavy Sedation	0	2006	\N	30	Sci-Fi
7,2	35	tt2027434	tvSeries	Carried by the Wind: Tsukikage Ran	Carried by the Wind: Tsukikage Ran	0	2000	2001	\N	Action,Adventure,Animation
